,Unnamed: 0,city,city_ibge_code,confirmed,confirmed_per_100k_inhabitants,date,death_rate,deaths,estimated_population_2019,is_last,order_for_place,place_type,state
114316,114316,,12.0,3,0.34016,2020-02-25,0.0,0,881935.0,False,1,state,AC
114316,114316,,12.0,3,0.34016,2020-02-26,0.0,0,881935.0,False,1,state,AC
114316,114316,,12.0,3,0.34016,2020-02-27,0.0,0,881935.0,False,1,state,AC
114316,114316,,12.0,3,0.34016,2020-02-28,0.0,0,881935.0,False,1,state,AC
114316,114316,,12.0,3,0.34016,2020-02-29,0.0,0,881935.0,False,1,state,AC
114316,114316,,12.0,3,0.34016,2020-03-01,0.0,0,881935.0,False,1,state,AC
114316,114316,,12.0,3,0.34016,2020-03-02,0.0,0,881935.0,False,1,state,AC
114316,114316,,12.0,3,0.34016,2020-03-03,0.0,0,881935.0,False,1,state,AC
114316,114316,,12.0,3,0.34016,2020-03-04,0.0,0,881935.0,False,1,state,AC
114316,114316,,12.0,3,0.34016,2020-03-05,0.0,0,881935.0,False,1,state,AC
114316,114316,,12.0,3,0.34016,2020-03-06,0.0,0,881935.0,False,1,state,AC
114316,114316,,12.0,3,0.34016,2020-03-07,0.0,0,881935.0,False,1,state,AC
114316,114316,,12.0,3,0.34016,2020-03-08,0.0,0,881935.0,False,1,state,AC
114316,114316,,12.0,3,0.34016,2020-03-09,0.0,0,881935.0,False,1,state,AC
114316,114316,,12.0,3,0.34016,2020-03-10,0.0,0,881935.0,False,1,state,AC
114316,114316,,12.0,3,0.34016,2020-03-11,0.0,0,881935.0,False,1,state,AC
114316,114316,,12.0,3,0.34016,2020-03-12,0.0,0,881935.0,False,1,state,AC
114316,114316,,12.0,3,0.34016,2020-03-13,0.0,0,881935.0,False,1,state,AC
114316,114316,,12.0,3,0.34016,2020-03-14,0.0,0,881935.0,False,1,state,AC
114316,114316,,12.0,3,0.34016,2020-03-15,0.0,0,881935.0,False,1,state,AC
114316,114316,,12.0,3,0.34016,2020-03-16,0.0,0,881935.0,False,1,state,AC
114316,114316,,12.0,3,0.34016,2020-03-17,0.0,0,881935.0,False,1,state,AC
114224,114224,,12.0,3,0.34016,2020-03-18,0.0,0,881935.0,False,2,state,AC
114124,114124,,12.0,4,0.45355,2020-03-19,0.0,0,881935.0,False,3,state,AC
113992,113992,,12.0,7,0.79371,2020-03-20,0.0,0,881935.0,False,4,state,AC
113853,113853,,12.0,11,1.24726,2020-03-21,0.0,0,881935.0,False,5,state,AC
113711,113711,,12.0,11,1.24726,2020-03-22,0.0,0,881935.0,False,6,state,AC
113535,113535,,12.0,17,1.9275799999999998,2020-03-23,0.0,0,881935.0,False,7,state,AC
113330,113330,,12.0,21,2.3811299999999997,2020-03-24,0.0,0,881935.0,False,8,state,AC
